Customer_ID,Customer_Name,Age,Gender,City,State,Membership_Level,Acquisition_Channel,Customer_Tenure_Days,Total_Orders,Total_Items_Purchased,Total_Spend,Average_Order_Value,Preferred_Category,Website_Visits,App_Sessions,Days_Since_Last_Purchase,Purchase_Frequency_Per_Month,Average_Days_Between_Orders,Coupon_Usage_Rate,Return_Rate,Support_Tickets,Customer_Satisfaction,Preferred_Payment_Method,Future_CLV
CUST100000,Madhuri Gupta,22,Female,Kolkata,West Bengal,Silver,Organic Search,331,2,3,1805.18,902.59,Sports & Fitness,37,27,335,0.181,168.73,0.478,0.535,3,3.27,Debit Card,200
CUST100001,Ritu Naidu,34,Other,Ahmedabad,Gujarat,Silver,Paid Ads,214,3,7,4518.55,1506.18,Home & Kitchen,31,20,145,0.421,67.69,0.392,0.428,2,3.64,Credit Card,325.56
CUST100002,Vidya Menon,37,Female,Hyderabad,Telangana,Silver,Email Marketing,1890,28,79,15672.76,559.74,Grocery,148,125,87,0.444,62.52,0.342,0.229,2,3.67,UPI,1201.04
CUST100003,Pankaj Pandey,29,Male,Delhi,Delhi,Silver,Organic Search,1170,20,37,14660.69,733.03,Fashion,98,61,27,0.513,68.2,0.278,0.421,4,3.34,UPI,747.54
CUST100004,Pooja Kumar,20,Female,Pune,Maharashtra,Silver,Organic Search,360,1,2,303.17,303.17,Electronics,115,92,398,0.083,323.45,0.112,0.266,4,3.94,Cash on Delivery,200
CUST100005,Varun Menon,25,Male,Patna,Bihar,Silver,Paid Ads,810,13,30,13389.79,1029.98,Electronics,139,86,75,0.481,56.18,0.681,0.273,5,3.43,EMI,3204.25
CUST100006,Ganesh Verma,35,Male,Kolkata,West Bengal,Silver,Email Marketing,435,6,9,3888.16,648.03,Fashion,27,11,8,0.414,72.59,0.633,0.276,2,3.73,Credit Card,516.43
CUST100007,Pallavi Naidu,32,Female,Howrah,West Bengal,Silver,Social Media,695,2,8,528.06,264.03,Fashion,60,44,900,0.086,288.21,0.581,0.528,3,3.42,Debit Card,200
CUST100008,Deepika Bansal,23,Female,Nagpur,Maharashtra,Silver,Social Media,630,13,40,5199.14,399.93,Grocery,199,123,15,0.619,48.4,0.279,0.291,1,4.39,Debit Card,583.86
CUST100009,Kajal Kumar,28,Female,Surat,Gujarat,Gold,Paid Ads,548,11,15,5566.65,506.06,Fashion,44,26,57,0.602,48.15,0.592,0.147,2,4.14,UPI,527.82
CUST100010,Ravi Pandey,38,Male,Kozhikode,Kerala,Silver,Referral,595,5,12,5193.01,1038.6,Fashion,57,48,192,0.252,107.91,0.335,0.113,3,4.06,Credit Card,480.5
CUST100011,Rahul Yadav,34,Male,Chandigarh,Punjab,Gold,Organic Search,1620,37,65,28229.73,762.97,Home & Kitchen,173,58,17,0.685,40.11,0.512,0.088,4,4.12,UPI,2570.31
CUST100012,Pallavi Menon,24,Female,Noida,Uttar Pradesh,Gold,Paid Ads,720,11,15,8042.47,731.13,Electronics,149,73,32,0.458,53.67,0.77,0.037,0,4.6,UPI,4015.28
CUST100013,Harish Bose,34,Male,Hyderabad,Telangana,Gold,Social Media,539,5,13,3296.52,659.3,Home & Kitchen,92,77,88,0.278,104.98,0.29,0.127,1,4.72,Debit Card,454.1
CUST100014,Yogesh Kulkarni,28,Male,Ahmedabad,Gujarat,Gold,Referral,1080,35,90,32744.07,935.54,Beauty & Personal Care,83,40,75,0.972,28.36,0.664,0.324,4,3.65,Credit Card,2100.7
CUST100015,Ritu Agarwal,27,Female,Hubballi,Karnataka,Silver,Affiliate,990,5,9,1730.7,346.14,Electronics,135,109,216,0.152,166.74,0.635,0.397,2,3.1,Debit Card,200
CUST100016,Divya Bose,33,Female,Jodhpur,Rajasthan,Gold,Paid Ads,1530,26,62,6754.1,259.77,Fashion,207,162,68,0.51,51.76,0.364,0.158,1,4.43,Cash on Delivery,1078.66
CUST100017,Arjun Rao,23,Male,Mumbai,Maharashtra,Silver,Referral,630,10,25,2787.89,278.79,Beauty & Personal Care,103,55,29,0.476,75.76,0.195,0.36,3,3.8,Cash on Delivery,247.43
CUST100018,Sanjay Rao,28,Male,Hyderabad,Telangana,Gold,Referral,1080,12,38,9419.97,785,Electronics,131,92,73,0.333,88.16,0.405,0.348,4,3.56,Debit Card,831.94
CUST100019,Priya Menon,78,Female,Noida,Uttar Pradesh,Gold,Social Media,769,20,67,24435.83,1221.79,Books,93,86,84,0.78,43.27,0.108,0.082,3,3.99,EMI,1598.88
CUST100020,Usha Chatterjee,52,Female,Kolkata,West Bengal,Platinum,Social Media,3240,63,141,78052.1,1238.92,Grocery,522,353,38,0.583,57.59,0.348,0.441,2,4.04,Credit Card,6516.45
CUST100021,Praveen Pillai,18,Male,Kochi,Kerala,Silver,Social Media,180,7,16,6963.53,994.79,Beauty & Personal Care,24,10,31,1.167,24.65,0.159,0.594,7,2.75,Net Banking,368.25
CUST100022,Pallavi Thakur,25,Female,Patna,Bihar,Gold,Email Marketing,801,7,9,3654.01,522,Fashion,54,40,260,0.262,98.8,0.094,0.6,5,3.51,UPI,367.45
